combo,mean_f1,std_f1
"('B10', 'B3', 'B1', 'B6', 'B9')",0.6392198209836724,0.0019386253531988354
"('B10', 'B4', 'B6', 'B8', 'B9')",0.6392085738072694,0.004621965084419645
"('B10', 'B11', 'B5', 'B7', 'B8')",0.6392030448900399,0.0017202369423635054
"('B10', 'B5', 'B3', 'B7', 'B9')",0.6390090569148965,0.0028170465271984873
"('B10', 'B11', 'B5', 'B4', 'B1')",0.6389006257824913,0.003425065956198253
"('B11', 'B5', 'B6', 'B7', 'B9')",0.6386471637149699,0.001988169747447162
"('B10', 'B11', 'B3', 'B2', 'B9')",0.638628273614034,0.0013185704145308793
"('B10', 'B5', 'B4', 'B8', 'B9')",0.6385623507448329,0.006739080545453102
"('B5', 'B4', 'B3', 'B1', 'B9')",0.6385439899520011,0.0035848264825280715
"('B10', 'B11', 'B4', 'B6')",0.6385172228352906,0.003423458507242297
"('B10', 'B5', 'B2', 'B7', 'B9')",0.6382795529895618,0.0028780231448011042
"('B10', 'B5', 'B2', 'B6', 'B7')",0.638244330834887,0.0042042472085050825
"('B10', 'B4', 'B3', 'B7', 'B8')",0.6381972890693773,0.004570322143044381
"('B10', 'B5', 'B3', 'B2', 'B7')",0.6381819464204349,0.0029450851167363715
"('B11', 'B5', 'B2', 'B6', 'B7')",0.637820929301231,0.0006284002984957754
"('B10', 'B11', 'B3', 'B7', 'B9')",0.6375740472322543,0.0007387283651198077
"('B10', 'B4', 'B3', 'B8', 'B9')",0.6375536258975952,0.003784121310136309
"('B10', 'B5', 'B1', 'B6', 'B8')",0.6375327091902464,0.004705029736093919
"('B5', 'B4', 'B3', 'B6', 'B8')",0.6374871900972672,0.005243248306912016
"('B10', 'B5', 'B2', 'B6', 'B8')",0.637220704038163,0.0036214177569206646
"('B11', 'B4', 'B6', 'B8', 'B9')",0.6371151778799361,0.005464180816160331
"('B11', 'B5', 'B3', 'B7', 'B9')",0.6370667215333429,0.0022771203776806074
"('B11', 'B5', 'B2', 'B1', 'B9')",0.6370552830522738,0.0018807588486229438
"('B10', 'B11', 'B5', 'B8', 'B9')",0.6370310085081402,0.0023116212648056143
"('B11', 'B5', 'B2', 'B6', 'B8')",0.6369047006804877,0.0005865839773072885
"('B5', 'B4', 'B3', 'B2', 'B6')",0.6366166762113528,0.0054599874369444835
"('B10', 'B5', 'B1', 'B7', 'B9')",0.6363969067665963,0.003786846417922589
"('B11', 'B5', 'B3', 'B1', 'B8')",0.636395763019241,0.0026189844356889567
"('B11', 'B5', 'B1', 'B6', 'B7')",0.6363086824179381,0.0024226794688155377
"('B10', 'B5', 'B3', 'B2', 'B9')",0.6362064997176623,0.0009682414821656278
"('B5', 'B4', 'B3', 'B1', 'B7')",0.6361794568167817,0.004191007176328357
"('B10', 'B11', 'B5', 'B4', 'B2')",0.6357845626746594,0.0027875393306711206
"('B10', 'B11', 'B5', 'B7')",0.6357819805682323,0.0006752275687408239
"('B10', 'B11', 'B4', 'B3', 'B1')",0.6356232960626592,0.0024083504429340753
"('B10', 'B11', 'B3', 'B2', 'B8')",0.6356205931443467,0.002861634263932432
"('B5', 'B4', 'B3', 'B1', 'B8')",0.6352386150649564,0.0032373762249003363
"('B10', 'B11', 'B3', 'B2', 'B6')",0.6352071486792285,0.0014394801578440797
"('B11', 'B5', 'B3', 'B2', 'B6')",0.6351773776148257,0.0012044711640844807
"('B4', 'B2', 'B1', 'B6', 'B9')",0.6351059013135137,0.002830505136045047
"('B11', 'B4', 'B3', 'B7', 'B8')",0.6349945385831922,0.0024363027689317265
"('B10', 'B11', 'B2', 'B6', 'B8')",0.6349635332149814,0.004689458493051348
"('B10', 'B5', 'B4', 'B6')",0.6349348393946145,0.00510692195080142
"('B10', 'B5', 'B3', 'B2', 'B6')",0.6348051683585231,0.0028107948798674178
"('B11', 'B5', 'B1', 'B6', 'B8')",0.6344208941685981,0.004320282992439064
"('B10', 'B2', 'B1', 'B6', 'B9')",0.6343302707394628,0.0014721216361888955
"('B5', 'B4', 'B3', 'B6', 'B7')",0.6342174309483477,0.007081604614339585
"('B11', 'B4', 'B1', 'B7', 'B8')",0.6341180457689678,0.0023810689642039455
"('B11', 'B4', 'B3', 'B8', 'B9')",0.6341032807260633,0.004040461030242802
"('B10', 'B3', 'B1', 'B7', 'B9')",0.6340004388687047,0.001740776734473598
"('B10', 'B4', 'B2', 'B8', 'B9')",0.6337014921352407,0.005146821746044867
"('B11', 'B5', 'B2', 'B1', 'B8')",0.6336265895517882,0.0038534713296119187
"('B10', 'B11', 'B3', 'B7', 'B8')",0.6336172004543608,0.0016121235936024016
"('B5', 'B4', 'B6', 'B7', 'B9')",0.6334233555485206,0.0031654663333603034
"('B11', 'B5', 'B4', 'B7', 'B8')",0.6334112784032923,0.00424348062286141
"('B10', 'B4', 'B2', 'B7', 'B8')",0.6330895139307098,0.00538306814933937
"('B11', 'B4', 'B2', 'B8', 'B9')",0.6330134040953358,0.0015723797720755463
"('B5', 'B4', 'B2', 'B1', 'B6')",0.632841612719169,0.003720771811532423
"('B10', 'B4', 'B1', 'B7')",0.6327952342387221,0.003768016417887934
"('B11', 'B5', 'B3', 'B2', 'B7')",0.632781335064136,0.0009533260214186836
"('B11', 'B4', 'B2', 'B7', 'B8')",0.6325275434918506,0.0033807500269539105
"('B10', 'B5', 'B3', 'B2', 'B8')",0.6322718711346008,0.00023960254461308716
"('B11', 'B5', 'B2', 'B7', 'B9')",0.6321441080496732,0.002760753696349506
"('B11', 'B4', 'B1', 'B8', 'B9')",0.6319800780566348,0.0016225089075450417
"('B10', 'B11', 'B5', 'B6')",0.6319144098305686,0.0036788434208504988
"('B10', 'B11', 'B5', 'B9')",0.6319139016342534,0.0019327242874934223
"('B5', 'B4', 'B2', 'B6', 'B8')",0.6318416923420512,0.004313604687622889
"('B10', 'B11', 'B1', 'B6', 'B7')",0.6316107041838182,0.0027316558226872516
"('B4', 'B3', 'B1', 'B6', 'B8')",0.6313871727135837,0.005626977823566403
"('B11', 'B5', 'B4', 'B6')",0.6311037812481032,0.0032362831725709063
"('B4', 'B3', 'B6', 'B7', 'B9')",0.6310390254261901,0.004764980288231816
"('B11', 'B5', 'B1', 'B7', 'B9')",0.6309606125275662,0.0038145173836955514
"('B10', 'B3', 'B1', 'B6', 'B7')",0.6309553334266187,0.0033935801883575156
"('B4', 'B3', 'B1', 'B6', 'B7')",0.6308906619381222,0.004622113667821688
"('B10', 'B4', 'B7', 'B8', 'B9')",0.6308647391134458,0.0054415563271673255
"('B4', 'B1', 'B6', 'B7', 'B9')",0.6306034883776823,0.004738609433908166
"('B10', 'B4', 'B1', 'B9')",0.6302919712773329,0.003056577295848834
"('B10', 'B3', 'B2', 'B1', 'B7')",0.630188478396278,0.0009067788878905495
"('B10', 'B5', 'B6', 'B8', 'B9')",0.6301072273535154,0.0030814311163535483
"('B11', 'B5', 'B6', 'B8', 'B9')",0.6300888148759097,0.0023313978291352373
"('B10', 'B2', 'B1', 'B7', 'B9')",0.6297642731539553,0.0031363976013727853
"('B5', 'B4', 'B3', 'B7', 'B9')",0.6296591006843754,0.006843012619777832
"('B11', 'B5', 'B3', 'B2', 'B9')",0.6295999001909185,0.0018009183301050133
"('B4', 'B3', 'B2', 'B6', 'B9')",0.6295394860623444,0.005333632328010404
"('B10', 'B11', 'B3', 'B8', 'B9')",0.629374879767845,0.0002583359143786772
"('B10', 'B5', 'B4', 'B7')",0.6293676706979981,0.008598324228284842
"('B11', 'B4', 'B7', 'B8', 'B9')",0.6293531476130885,0.004166908367617082
"('B5', 'B4', 'B3', 'B2', 'B9')",0.6292688003739593,0.002545793224707163
"('B10', 'B11', 'B2', 'B7', 'B9')",0.6291683789756221,0.0006815798903073162
"('B11', 'B5', 'B4', 'B8', 'B9')",0.629137505196378,0.004715960384499621
"('B10', 'B4', 'B3', 'B6')",0.629109265422711,0.004436497883169398
"('B5', 'B4', 'B2', 'B6', 'B7')",0.629061574239775,0.007470514691973512
"('B10', 'B11', 'B1', 'B6', 'B9')",0.6286798987315119,0.004767718728300511
"('B5', 'B4', 'B2', 'B1', 'B7')",0.6286546534005558,0.0037418919553714653
"('B11', 'B4', 'B3', 'B6')",0.6284543932464719,0.0036845991164119497
"('B10', 'B2', 'B1', 'B6', 'B7')",0.6284226029201149,0.003277706116580453
"('B4', 'B3', 'B1', 'B7', 'B9')",0.6282212523329583,0.005766527489896428
"('B5', 'B4', 'B3', 'B2', 'B8')",0.627776511282641,0.0035159704743530254
"('B10', 'B3', 'B2', 'B1', 'B9')",0.6275733558703588,0.0024754044187124025
"('B10', 'B4', 'B1', 'B8')",0.6274566867984727,0.002656958732799837
"('B5', 'B4', 'B3', 'B2', 'B7')",0.6273754432599574,0.00581427403062479
"('B5', 'B4', 'B2', 'B7', 'B9')",0.627240523548142,0.004891768271414147
"('B11', 'B5', 'B3', 'B2', 'B8')",0.626875736773465,0.0032016261893385717
"('B10', 'B4', 'B3', 'B9')",0.6268517439922207,0.003955131664351952
"('B5', 'B4', 'B1', 'B7', 'B9')",0.6264784894537653,0.004545995596378424
"('B10', 'B11', 'B3', 'B7')",0.6264594612478811,0.0022543697541000584
"('B5', 'B4', 'B1', 'B6', 'B8')",0.6264511280301215,0.005979471947898515
"('B10', 'B4', 'B3', 'B7')",0.6263114719468289,0.005877623609347135
"('B10', 'B4', 'B6', 'B9')",0.6261350536448848,0.00405007071771021
"('B11', 'B3', 'B1', 'B6', 'B9')",0.6260535779863075,0.0009499367746799111
"('B10', 'B11', 'B4', 'B3', 'B2')",0.6260514270091209,0.002067548726944916
"('B10', 'B3', 'B6', 'B7', 'B9')",0.6259781547705313,0.0014153786757484799
"('B5', 'B4', 'B2', 'B1', 'B9')",0.6259003152458156,0.004240430936934456
"('B10', 'B5', 'B3', 'B7', 'B8')",0.625870519126361,0.0022688987300932893
"('B10', 'B4', 'B6', 'B7', 'B8')",0.6257586734550898,0.0050973889921616476
"('B10', 'B3', 'B1', 'B6', 'B8')",0.6256095975761403,0.0028206752501669236
"('B10', 'B5', 'B4', 'B9')",0.6253598587981243,0.005461102610266828
"('B4', 'B2', 'B6', 'B7', 'B9')",0.6253483008149852,0.005910496681053941
"('B10', 'B3', 'B2', 'B1', 'B8')",0.6252711931258824,0.002001283116460092
"('B11', 'B4', 'B6', 'B9')",0.6252338276336583,0.00388218843757147
"('B11', 'B4', 'B6', 'B7', 'B8')",0.6251381226830236,0.002673473479027299
